x,y,t,u_t
0.4444444444444445,0.0,47.0,0.0
0.4444444444444445,1.0,47.0,0.0
0.4545454545454546,0.0,47.0,0.0
0.4545454545454546,1.0,47.0,0.0
0.4646464646464647,0.0,47.0,0.0
0.4646464646464647,1.0,47.0,0.0
0.4747474747474748,0.0,47.0,0.0
0.4747474747474748,1.0,47.0,0.0
0.48484848484848486,0.0,47.0,0.0
0.48484848484848486,1.0,47.0,0.0
0.494949494949495,0.0,47.0,0.0
0.494949494949495,1.0,47.0,0.0
0.5050505050505051,0.0,47.0,0.0
0.5050505050505051,1.0,47.0,0.0
0.5151515151515152,0.0,47.0,0.0
0.5151515151515152,1.0,47.0,0.0
0.5252525252525253,0.0,47.0,0.0
0.5252525252525253,1.0,47.0,0.0
0.5353535353535354,0.0,47.0,0.0
0.5353535353535354,1.0,47.0,0.0
0.5454545454545455,0.0,47.0,0.0
0.5454545454545455,1.0,47.0,0.0
0.5555555555555556,0.0,47.0,0.0
0.5555555555555556,1.0,47.0,0.0
0.5656565656565657,0.0,47.0,0.0
0.5656565656565657,1.0,47.0,0.0
0.5757575757575758,0.0,47.0,0.0
0.5757575757575758,1.0,47.0,0.0
0.5858585858585859,0.0,47.0,0.0
0.5858585858585859,1.0,47.0,0.0
0.595959595959596,0.0,47.0,0.0
0.595959595959596,1.0,47.0,0.0
0.6060606060606061,0.0,47.0,0.0
0.6060606060606061,1.0,47.0,0.0
0.6161616161616162,0.0,47.0,0.0
0.6161616161616162,1.0,47.0,0.0
0.6262626262626263,0.0,47.0,0.0
0.6262626262626263,1.0,47.0,0.0
0.6363636363636365,0.0,47.0,0.0
0.6363636363636365,1.0,47.0,0.0
0.6464646464646465,0.0,47.0,0.0
0.6464646464646465,1.0,47.0,0.0
0.6565656565656566,0.0,47.0,0.0
0.6565656565656566,1.0,47.0,0.0
0.6666666666666667,0.0,47.0,0.0
0.6666666666666667,1.0,47.0,0.0
0.6767676767676768,0.0,47.0,0.0
0.6767676767676768,1.0,47.0,0.0
0.686868686868687,0.0,47.0,0.0
0.686868686868687,1.0,47.0,0.0
0.696969696969697,0.0,47.0,0.0
0.696969696969697,1.0,47.0,0.0
0.7070707070707072,0.0,47.0,0.0
0.7070707070707072,1.0,47.0,0.0
0.7171717171717172,0.0,47.0,0.0
0.7171717171717172,1.0,47.0,0.0
0.7272727272727273,0.0,47.0,0.0
0.7272727272727273,1.0,47.0,0.0
0.7373737373737375,0.0,47.0,0.0
0.7373737373737375,1.0,47.0,0.0
0.7474747474747475,0.0,47.0,0.0
0.7474747474747475,1.0,47.0,0.0
0.7575757575757577,0.0,47.0,0.0
0.7575757575757577,1.0,47.0,0.0
0.7676767676767677,0.0,47.0,0.0
0.7676767676767677,1.0,47.0,0.0
0.7777777777777778,0.0,47.0,0.0
0.7777777777777778,1.0,47.0,0.0
0.787878787878788,0.0,47.0,0.0
0.787878787878788,1.0,47.0,0.0
0.797979797979798,0.0,47.0,0.0
0.797979797979798,1.0,47.0,0.0
0.8080808080808082,0.0,47.0,0.0
0.8080808080808082,1.0,47.0,0.0
0.8181818181818182,0.0,47.0,0.0
0.8181818181818182,1.0,47.0,0.0
0.8282828282828284,0.0,47.0,0.0
0.8282828282828284,1.0,47.0,0.0
0.8383838383838385,0.0,47.0,0.0
0.8383838383838385,1.0,47.0,0.0
0.8484848484848485,0.0,47.0,0.0
0.8484848484848485,1.0,47.0,0.0
0.8585858585858587,0.0,47.0,0.0
0.8585858585858587,1.0,47.0,0.0
0.8686868686868687,0.0,47.0,0.0
0.8686868686868687,1.0,47.0,0.0
0.8787878787878789,0.0,47.0,0.0
0.8787878787878789,1.0,47.0,0.0
0.888888888888889,0.0,47.0,0.0
0.888888888888889,1.0,47.0,0.0
0.8989898989898991,0.0,47.0,0.0
0.8989898989898991,1.0,47.0,0.0
0.9090909090909092,0.0,47.0,0.0
0.9090909090909092,1.0,47.0,0.0
0.9191919191919192,0.0,47.0,0.0
0.9191919191919192,1.0,47.0,0.0
0.9292929292929294,0.0,47.0,0.0
0.9292929292929294,1.0,47.0,0.0
0.9393939393939394,0.0,47.0,0.0
0.9393939393939394,1.0,47.0,0.0
0.9494949494949496,0.0,47.0,0.0
0.9494949494949496,1.0,47.0,0.0
0.9595959595959597,0.0,47.0,0.0
0.9595959595959597,1.0,47.0,0.0
0.9696969696969697,0.0,47.0,0.0
0.9696969696969697,1.0,47.0,0.0
0.9797979797979799,0.0,47.0,0.0
0.9797979797979799,1.0,47.0,0.0
0.98989898989899,0.0,47.0,0.0
0.98989898989899,1.0,47.0,0.0
1.0,0.0,47.0,0.0
1.0,0.010101010101010102,47.0,0.0
1.0,0.020202020202020204,47.0,0.0
1.0,0.030303030303030304,47.0,0.0
1.0,0.04040404040404041,47.0,0.0
1.0,0.05050505050505051,47.0,0.0
1.0,0.06060606060606061,47.0,0.0
1.0,0.07070707070707072,47.0,0.0
1.0,0.08080808080808081,47.0,0.0
1.0,0.09090909090909091,47.0,0.0
1.0,0.10101010101010102,47.0,0.0
1.0,0.11111111111111112,47.0,0.0
1.0,0.12121212121212122,47.0,0.0
1.0,0.13131313131313133,47.0,0.0
1.0,0.14141414141414144,47.0,0.0
1.0,0.15151515151515152,47.0,0.0
1.0,0.16161616161616163,47.0,0.0
1.0,0.17171717171717174,47.0,0.0
1.0,0.18181818181818182,47.0,0.0
1.0,0.19191919191919193,47.0,0.0
1.0,0.20202020202020204,47.0,0.0
1.0,0.21212121212121213,47.0,0.0
1.0,0.22222222222222224,47.0,0.0
1.0,0.23232323232323235,47.0,0.0
1.0,0.24242424242424243,47.0,0.0
1.0,0.25252525252525254,47.0,0.0
1.0,0.26262626262626265,47.0,0.0
1.0,0.27272727272727276,47.0,0.0
1.0,0.2828282828282829,47.0,0.0
1.0,0.29292929292929293,47.0,0.0
1.0,0.30303030303030304,47.0,0.0
1.0,0.31313131313131315,47.0,0.0
1.0,0.32323232323232326,47.0,0.0
1.0,0.33333333333333337,47.0,0.0
1.0,0.3434343434343435,47.0,0.0
1.0,0.3535353535353536,47.0,0.0
1.0,0.36363636363636365,47.0,0.0
1.0,0.37373737373737376,47.0,0.0
1.0,0.38383838383838387,47.0,0.0
1.0,0.393939393939394,47.0,0.0
1.0,0.4040404040404041,47.0,0.0
1.0,0.4141414141414142,47.0,0.0
1.0,0.42424242424242425,47.0,0.0
1.0,0.43434343434343436,47.0,0.0
1.0,0.4444444444444445,47.0,0.0
1.0,0.4545454545454546,47.0,0.0
1.0,0.4646464646464647,47.0,0.0
1.0,0.4747474747474748,47.0,0.0
1.0,0.48484848484848486,47.0,0.0
1.0,0.494949494949495,47.0,0.0
1.0,0.5050505050505051,47.0,0.0
1.0,0.5151515151515152,47.0,0.0
1.0,0.5252525252525253,47.0,0.0
1.0,0.5353535353535354,47.0,0.0
1.0,0.5454545454545455,47.0,0.0
1.0,0.5555555555555556,47.0,0.0
1.0,0.5656565656565657,47.0,0.0
1.0,0.5757575757575758,47.0,0.0
1.0,0.5858585858585859,47.0,0.0
1.0,0.595959595959596,47.0,0.0
1.0,0.6060606060606061,47.0,0.0
1.0,0.6161616161616162,47.0,0.0
1.0,0.6262626262626263,47.0,0.0
1.0,0.6363636363636365,47.0,0.0
1.0,0.6464646464646465,47.0,0.0
1.0,0.6565656565656566,47.0,0.0
1.0,0.6666666666666667,47.0,0.0
1.0,0.6767676767676768,47.0,0.0
1.0,0.686868686868687,47.0,0.0
1.0,0.696969696969697,47.0,0.0
1.0,0.7070707070707072,47.0,0.0
1.0,0.7171717171717172,47.0,0.0
1.0,0.7272727272727273,47.0,0.0
1.0,0.7373737373737375,47.0,0.0
1.0,0.7474747474747475,47.0,0.0
1.0,0.7575757575757577,47.0,0.0
1.0,0.7676767676767677,47.0,0.0
1.0,0.7777777777777778,47.0,0.0
1.0,0.787878787878788,47.0,0.0
1.0,0.797979797979798,47.0,0.0
1.0,0.8080808080808082,47.0,0.0
1.0,0.8181818181818182,47.0,0.0
1.0,0.8282828282828284,47.0,0.0
1.0,0.8383838383838385,47.0,0.0
1.0,0.8484848484848485,47.0,0.0
1.0,0.8585858585858587,47.0,0.0
1.0,0.8686868686868687,47.0,0.0
1.0,0.8787878787878789,47.0,0.0
1.0,0.888888888888889,47.0,0.0
1.0,0.8989898989898991,47.0,0.0
1.0,0.9090909090909092,47.0,0.0
1.0,0.9191919191919192,47.0,0.0
1.0,0.9292929292929294,47.0,0.0
1.0,0.9393939393939394,47.0,0.0
1.0,0.9494949494949496,47.0,0.0
1.0,0.9595959595959597,47.0,0.0
1.0,0.9696969696969697,47.0,0.0
1.0,0.9797979797979799,47.0,0.0
1.0,0.98989898989899,47.0,0.0
1.0,1.0,47.0,0.0
0.0,0.0,48.0,0.0
0.0,0.010101010101010102,48.0,0.0
0.0,0.020202020202020204,48.0,0.0
0.0,0.030303030303030304,48.0,0.0
0.0,0.04040404040404041,48.0,0.0
0.0,0.05050505050505051,48.0,0.0
0.0,0.06060606060606061,48.0,0.0
0.0,0.07070707070707072,48.0,0.0
0.0,0.08080808080808081,48.0,0.0
0.0,0.09090909090909091,48.0,0.0
0.0,0.10101010101010102,48.0,0.0
0.0,0.11111111111111112,48.0,0.0
0.0,0.12121212121212122,48.0,0.0
0.0,0.13131313131313133,48.0,0.0
0.0,0.14141414141414144,48.0,0.0
0.0,0.15151515151515152,48.0,0.0
0.0,0.16161616161616163,48.0,0.0
0.0,0.17171717171717174,48.0,0.0
0.0,0.18181818181818182,48.0,0.0
0.0,0.19191919191919193,48.0,0.0
0.0,0.20202020202020204,48.0,0.0
0.0,0.21212121212121213,48.0,0.0
0.0,0.22222222222222224,48.0,0.0
0.0,0.23232323232323235,48.0,0.0
0.0,0.24242424242424243,48.0,0.0
0.0,0.25252525252525254,48.0,0.0
0.0,0.26262626262626265,48.0,0.0
0.0,0.27272727272727276,48.0,0.0
0.0,0.2828282828282829,48.0,0.0
0.0,0.29292929292929293,48.0,0.0
0.0,0.30303030303030304,48.0,0.0
0.0,0.31313131313131315,48.0,0.0
0.0,0.32323232323232326,48.0,0.0
0.0,0.33333333333333337,48.0,0.0
0.0,0.3434343434343435,48.0,0.0
0.0,0.3535353535353536,48.0,0.0
0.0,0.36363636363636365,48.0,0.0
0.0,0.37373737373737376,48.0,0.0
0.0,0.38383838383838387,48.0,0.0
0.0,0.393939393939394,48.0,0.0
0.0,0.4040404040404041,48.0,0.0
0.0,0.4141414141414142,48.0,0.0
0.0,0.42424242424242425,48.0,0.0
0.0,0.43434343434343436,48.0,0.0
0.0,0.4444444444444445,48.0,0.0
0.0,0.4545454545454546,48.0,0.0
0.0,0.4646464646464647,48.0,0.0
0.0,0.4747474747474748,48.0,0.0
0.0,0.48484848484848486,48.0,0.0
0.0,0.494949494949495,48.0,0.0
0.0,0.5050505050505051,48.0,0.0
0.0,0.5151515151515152,48.0,0.0
0.0,0.5252525252525253,48.0,0.0
0.0,0.5353535353535354,48.0,0.0
0.0,0.5454545454545455,48.0,0.0
0.0,0.5555555555555556,48.0,0.0
0.0,0.5656565656565657,48.0,0.0
0.0,0.5757575757575758,48.0,0.0
0.0,0.5858585858585859,48.0,0.0
0.0,0.595959595959596,48.0,0.0
0.0,0.6060606060606061,48.0,0.0
0.0,0.6161616161616162,48.0,0.0
0.0,0.6262626262626263,48.0,0.0
0.0,0.6363636363636365,48.0,0.0
0.0,0.6464646464646465,48.0,0.0
0.0,0.6565656565656566,48.0,0.0
0.0,0.6666666666666667,48.0,0.0
0.0,0.6767676767676768,48.0,0.0
0.0,0.686868686868687,48.0,0.0
0.0,0.696969696969697,48.0,0.0
0.0,0.7070707070707072,48.0,0.0
0.0,0.7171717171717172,48.0,0.0
0.0,0.7272727272727273,48.0,0.0
0.0,0.7373737373737375,48.0,0.0
0.0,0.7474747474747475,48.0,0.0
0.0,0.7575757575757577,48.0,0.0
0.0,0.7676767676767677,48.0,0.0
0.0,0.7777777777777778,48.0,0.0
0.0,0.787878787878788,48.0,0.0
0.0,0.797979797979798,48.0,0.0
0.0,0.8080808080808082,48.0,0.0
0.0,0.8181818181818182,48.0,0.0
0.0,0.8282828282828284,48.0,0.0
0.0,0.8383838383838385,48.0,0.0
0.0,0.8484848484848485,48.0,0.0
0.0,0.8585858585858587,48.0,0.0
0.0,0.8686868686868687,48.0,0.0
0.0,0.8787878787878789,48.0,0.0
0.0,0.888888888888889,48.0,0.0
0.0,0.8989898989898991,48.0,0.0
0.0,0.9090909090909092,48.0,0.0
0.0,0.9191919191919192,48.0,0.0
0.0,0.9292929292929294,48.0,0.0
0.0,0.9393939393939394,48.0,0.0
0.0,0.9494949494949496,48.0,0.0
0.0,0.9595959595959597,48.0,0.0
0.0,0.9696969696969697,48.0,0.0
0.0,0.9797979797979799,48.0,0.0
0.0,0.98989898989899,48.0,0.0
0.0,1.0,48.0,0.0
0.010101010101010102,0.0,48.0,0.0
0.010101010101010102,1.0,48.0,0.0
0.020202020202020204,0.0,48.0,0.0
0.020202020202020204,1.0,48.0,0.0
0.030303030303030304,0.0,48.0,0.0
0.030303030303030304,1.0,48.0,0.0
0.04040404040404041,0.0,48.0,0.0
0.04040404040404041,1.0,48.0,0.0
0.05050505050505051,0.0,48.0,0.0
0.05050505050505051,1.0,48.0,0.0
0.06060606060606061,0.0,48.0,0.0
0.06060606060606061,1.0,48.0,0.0
0.07070707070707072,0.0,48.0,0.0
0.07070707070707072,1.0,48.0,0.0
0.08080808080808081,0.0,48.0,0.0
0.08080808080808081,1.0,48.0,0.0
0.09090909090909091,0.0,48.0,0.0
0.09090909090909091,1.0,48.0,0.0
0.10101010101010102,0.0,48.0,0.0
0.10101010101010102,1.0,48.0,0.0
0.11111111111111112,0.0,48.0,0.0
0.11111111111111112,1.0,48.0,0.0
0.12121212121212122,0.0,48.0,0.0
0.12121212121212122,1.0,48.0,0.0
0.13131313131313133,0.0,48.0,0.0
0.13131313131313133,1.0,48.0,0.0
0.14141414141414144,0.0,48.0,0.0
0.14141414141414144,1.0,48.0,0.0
0.15151515151515152,0.0,48.0,0.0
0.15151515151515152,1.0,48.0,0.0
0.16161616161616163,0.0,48.0,0.0
0.16161616161616163,1.0,48.0,0.0
0.17171717171717174,0.0,48.0,0.0
0.17171717171717174,1.0,48.0,0.0
0.18181818181818182,0.0,48.0,0.0
0.18181818181818182,1.0,48.0,0.0
0.19191919191919193,0.0,48.0,0.0
0.19191919191919193,1.0,48.0,0.0
0.20202020202020204,0.0,48.0,0.0
0.20202020202020204,1.0,48.0,0.0
0.21212121212121213,0.0,48.0,0.0
0.21212121212121213,1.0,48.0,0.0
0.22222222222222224,0.0,48.0,0.0
0.22222222222222224,1.0,48.0,0.0
0.23232323232323235,0.0,48.0,0.0
0.23232323232323235,1.0,48.0,0.0
0.24242424242424243,0.0,48.0,0.0
0.24242424242424243,1.0,48.0,0.0
0.25252525252525254,0.0,48.0,0.0
0.25252525252525254,1.0,48.0,0.0
0.26262626262626265,0.0,48.0,0.0
0.26262626262626265,1.0,48.0,0.0
0.27272727272727276,0.0,48.0,0.0
0.27272727272727276,1.0,48.0,0.0
0.2828282828282829,0.0,48.0,0.0
0.2828282828282829,1.0,48.0,0.0
0.29292929292929293,0.0,48.0,0.0
0.29292929292929293,1.0,48.0,0.0
0.30303030303030304,0.0,48.0,0.0
0.30303030303030304,1.0,48.0,0.0
0.31313131313131315,0.0,48.0,0.0
0.31313131313131315,1.0,48.0,0.0
0.32323232323232326,0.0,48.0,0.0
0.32323232323232326,1.0,48.0,0.0
0.33333333333333337,0.0,48.0,0.0
0.33333333333333337,1.0,48.0,0.0
0.3434343434343435,0.0,48.0,0.0
0.3434343434343435,1.0,48.0,0.0
0.3535353535353536,0.0,48.0,0.0
0.3535353535353536,1.0,48.0,0.0
0.36363636363636365,0.0,48.0,0.0
0.36363636363636365,1.0,48.0,0.0
0.37373737373737376,0.0,48.0,0.0
0.37373737373737376,1.0,48.0,0.0
0.38383838383838387,0.0,48.0,0.0
0.38383838383838387,1.0,48.0,0.0
0.393939393939394,0.0,48.0,0.0
0.393939393939394,1.0,48.0,0.0
0.4040404040404041,0.0,48.0,0.0
0.4040404040404041,1.0,48.0,0.0
0.4141414141414142,0.0,48.0,0.0
0.4141414141414142,1.0,48.0,0.0
0.42424242424242425,0.0,48.0,0.0
0.42424242424242425,1.0,48.0,0.0
0.43434343434343436,0.0,48.0,0.0
0.43434343434343436,1.0,48.0,0.0
0.4444444444444445,0.0,48.0,0.0
0.4444444444444445,1.0,48.0,0.0
0.4545454545454546,0.0,48.0,0.0
0.4545454545454546,1.0,48.0,0.0
0.4646464646464647,0.0,48.0,0.0
0.4646464646464647,1.0,48.0,0.0
0.4747474747474748,0.0,48.0,0.0
0.4747474747474748,1.0,48.0,0.0
0.48484848484848486,0.0,48.0,0.0
0.48484848484848486,1.0,48.0,0.0
0.494949494949495,0.0,48.0,0.0
0.494949494949495,1.0,48.0,0.0
0.5050505050505051,0.0,48.0,0.0
0.5050505050505051,1.0,48.0,0.0
0.5151515151515152,0.0,48.0,0.0
0.5151515151515152,1.0,48.0,0.0
0.5252525252525253,0.0,48.0,0.0
0.5252525252525253,1.0,48.0,0.0
0.5353535353535354,0.0,48.0,0.0
0.5353535353535354,1.0,48.0,0.0
0.5454545454545455,0.0,48.0,0.0
0.5454545454545455,1.0,48.0,0.0
0.5555555555555556,0.0,48.0,0.0
0.5555555555555556,1.0,48.0,0.0
0.5656565656565657,0.0,48.0,0.0
0.5656565656565657,1.0,48.0,0.0
0.5757575757575758,0.0,48.0,0.0
0.5757575757575758,1.0,48.0,0.0
0.5858585858585859,0.0,48.0,0.0
0.5858585858585859,1.0,48.0,0.0
0.595959595959596,0.0,48.0,0.0
0.595959595959596,1.0,48.0,0.0
0.6060606060606061,0.0,48.0,0.0
0.6060606060606061,1.0,48.0,0.0
0.6161616161616162,0.0,48.0,0.0
0.6161616161616162,1.0,48.0,0.0
0.6262626262626263,0.0,48.0,0.0
0.6262626262626263,1.0,48.0,0.0
0.6363636363636365,0.0,48.0,0.0
0.6363636363636365,1.0,48.0,0.0
0.6464646464646465,0.0,48.0,0.0
0.6464646464646465,1.0,48.0,0.0
0.6565656565656566,0.0,48.0,0.0
0.6565656565656566,1.0,48.0,0.0
0.6666666666666667,0.0,48.0,0.0
0.6666666666666667,1.0,48.0,0.0
0.6767676767676768,0.0,48.0,0.0
0.6767676767676768,1.0,48.0,0.0
0.686868686868687,0.0,48.0,0.0
0.686868686868687,1.0,48.0,0.0
0.696969696969697,0.0,48.0,0.0
0.696969696969697,1.0,48.0,0.0
0.7070707070707072,0.0,48.0,0.0
0.7070707070707072,1.0,48.0,0.0
0.7171717171717172,0.0,48.0,0.0
0.7171717171717172,1.0,48.0,0.0
0.7272727272727273,0.0,48.0,0.0
0.7272727272727273,1.0,48.0,0.0
0.7373737373737375,0.0,48.0,0.0
0.7373737373737375,1.0,48.0,0.0
0.7474747474747475,0.0,48.0,0.0
0.7474747474747475,1.0,48.0,0.0
0.7575757575757577,0.0,48.0,0.0
0.7575757575757577,1.0,48.0,0.0
0.7676767676767677,0.0,48.0,0.0
0.7676767676767677,1.0,48.0,0.0
0.7777777777777778,0.0,48.0,0.0
0.7777777777777778,1.0,48.0,0.0
0.787878787878788,0.0,48.0,0.0
0.787878787878788,1.0,48.0,0.0
0.797979797979798,0.0,48.0,0.0
0.797979797979798,1.0,48.0,0.0
0.8080808080808082,0.0,48.0,0.0
0.8080808080808082,1.0,48.0,0.0
0.8181818181818182,0.0,48.0,0.0
0.8181818181818182,1.0,48.0,0.0
0.8282828282828284,0.0,48.0,0.0
0.8282828282828284,1.0,48.0,0.0
0.8383838383838385,0.0,48.0,0.0
0.8383838383838385,1.0,48.0,0.0
0.8484848484848485,0.0,48.0,0.0
0.8484848484848485,1.0,48.0,0.0
0.8585858585858587,0.0,48.0,0.0
0.8585858585858587,1.0,48.0,0.0
0.8686868686868687,0.0,48.0,0.0
0.8686868686868687,1.0,48.0,0.0
0.8787878787878789,0.0,48.0,0.0
0.8787878787878789,1.0,48.0,0.0
0.888888888888889,0.0,48.0,0.0
0.888888888888889,1.0,48.0,0.0
0.8989898989898991,0.0,48.0,0.0
0.8989898989898991,1.0,48.0,0.0
0.9090909090909092,0.0,48.0,0.0
0.9090909090909092,1.0,48.0,0.0
0.9191919191919192,0.0,48.0,0.0
0.9191919191919192,1.0,48.0,0.0
0.9292929292929294,0.0,48.0,0.0
0.9292929292929294,1.0,48.0,0.0
0.9393939393939394,0.0,48.0,0.0
0.9393939393939394,1.0,48.0,0.0
0.9494949494949496,0.0,48.0,0.0
0.9494949494949496,1.0,48.0,0.0
0.9595959595959597,0.0,48.0,0.0
0.9595959595959597,1.0,48.0,0.0
0.9696969696969697,0.0,48.0,0.0
0.9696969696969697,1.0,48.0,0.0
0.9797979797979799,0.0,48.0,0.0
0.9797979797979799,1.0,48.0,0.0
0.98989898989899,0.0,48.0,0.0
0.98989898989899,1.0,48.0,0.0
1.0,0.0,48.0,0.0
1.0,0.010101010101010102,48.0,0.0
1.0,0.020202020202020204,48.0,0.0
1.0,0.030303030303030304,48.0,0.0
1.0,0.04040404040404041,48.0,0.0
1.0,0.05050505050505051,48.0,0.0
1.0,0.06060606060606061,48.0,0.0
1.0,0.07070707070707072,48.0,0.0
1.0,0.08080808080808081,48.0,0.0
1.0,0.09090909090909091,48.0,0.0
1.0,0.10101010101010102,48.0,0.0
1.0,0.11111111111111112,48.0,0.0
1.0,0.12121212121212122,48.0,0.0
1.0,0.13131313131313133,48.0,0.0
1.0,0.14141414141414144,48.0,0.0
1.0,0.15151515151515152,48.0,0.0
1.0,0.16161616161616163,48.0,0.0
1.0,0.17171717171717174,48.0,0.0
1.0,0.18181818181818182,48.0,0.0
1.0,0.19191919191919193,48.0,0.0
1.0,0.20202020202020204,48.0,0.0
1.0,0.21212121212121213,48.0,0.0
1.0,0.22222222222222224,48.0,0.0
1.0,0.23232323232323235,48.0,0.0
1.0,0.24242424242424243,48.0,0.0
1.0,0.25252525252525254,48.0,0.0
1.0,0.26262626262626265,48.0,0.0
1.0,0.27272727272727276,48.0,0.0
1.0,0.2828282828282829,48.0,0.0
1.0,0.29292929292929293,48.0,0.0
1.0,0.30303030303030304,48.0,0.0
1.0,0.31313131313131315,48.0,0.0
1.0,0.32323232323232326,48.0,0.0
1.0,0.33333333333333337,48.0,0.0
1.0,0.3434343434343435,48.0,0.0
1.0,0.3535353535353536,48.0,0.0
1.0,0.36363636363636365,48.0,0.0
1.0,0.37373737373737376,48.0,0.0
1.0,0.38383838383838387,48.0,0.0
1.0,0.393939393939394,48.0,0.0
1.0,0.4040404040404041,48.0,0.0
1.0,0.4141414141414142,48.0,0.0
1.0,0.42424242424242425,48.0,0.0
1.0,0.43434343434343436,48.0,0.0
1.0,0.4444444444444445,48.0,0.0
1.0,0.4545454545454546,48.0,0.0
1.0,0.4646464646464647,48.0,0.0
1.0,0.4747474747474748,48.0,0.0
1.0,0.48484848484848486,48.0,0.0
1.0,0.494949494949495,48.0,0.0
1.0,0.5050505050505051,48.0,0.0
1.0,0.5151515151515152,48.0,0.0
1.0,0.5252525252525253,48.0,0.0
1.0,0.5353535353535354,48.0,0.0
1.0,0.5454545454545455,48.0,0.0
1.0,0.5555555555555556,48.0,0.0
1.0,0.5656565656565657,48.0,0.0
1.0,0.5757575757575758,48.0,0.0
1.0,0.5858585858585859,48.0,0.0
1.0,0.595959595959596,48.0,0.0
1.0,0.6060606060606061,48.0,0.0
1.0,0.6161616161616162,48.0,0.0
1.0,0.6262626262626263,48.0,0.0
1.0,0.6363636363636365,48.0,0.0
1.0,0.6464646464646465,48.0,0.0
1.0,0.6565656565656566,48.0,0.0
1.0,0.6666666666666667,48.0,0.0
1.0,0.6767676767676768,48.0,0.0
1.0,0.686868686868687,48.0,0.0
1.0,0.696969696969697,48.0,0.0
1.0,0.7070707070707072,48.0,0.0
1.0,0.7171717171717172,48.0,0.0
1.0,0.7272727272727273,48.0,0.0
1.0,0.7373737373737375,48.0,0.0
1.0,0.7474747474747475,48.0,0.0
1.0,0.7575757575757577,48.0,0.0
1.0,0.7676767676767677,48.0,0.0
1.0,0.7777777777777778,48.0,0.0
1.0,0.787878787878788,48.0,0.0
1.0,0.797979797979798,48.0,0.0
1.0,0.8080808080808082,48.0,0.0
1.0,0.8181818181818182,48.0,0.0
1.0,0.8282828282828284,48.0,0.0
1.0,0.8383838383838385,48.0,0.0
1.0,0.8484848484848485,48.0,0.0
1.0,0.8585858585858587,48.0,0.0
1.0,0.8686868686868687,48.0,0.0
1.0,0.8787878787878789,48.0,0.0
1.0,0.888888888888889,48.0,0.0
1.0,0.8989898989898991,48.0,0.0
1.0,0.9090909090909092,48.0,0.0
1.0,0.9191919191919192,48.0,0.0
1.0,0.9292929292929294,48.0,0.0
1.0,0.9393939393939394,48.0,0.0
1.0,0.9494949494949496,48.0,0.0
1.0,0.9595959595959597,48.0,0.0
1.0,0.9696969696969697,48.0,0.0
1.0,0.9797979797979799,48.0,0.0
1.0,0.98989898989899,48.0,0.0
1.0,1.0,48.0,0.0
0.0,0.0,49.0,0.0
0.0,0.010101010101010102,49.0,0.0
0.0,0.020202020202020204,49.0,0.0
0.0,0.030303030303030304,49.0,0.0
0.0,0.04040404040404041,49.0,0.0
0.0,0.05050505050505051,49.0,0.0
0.0,0.06060606060606061,49.0,0.0
0.0,0.07070707070707072,49.0,0.0
0.0,0.08080808080808081,49.0,0.0
0.0,0.09090909090909091,49.0,0.0
0.0,0.10101010101010102,49.0,0.0
0.0,0.11111111111111112,49.0,0.0
0.0,0.12121212121212122,49.0,0.0
0.0,0.13131313131313133,49.0,0.0
0.0,0.14141414141414144,49.0,0.0
0.0,0.15151515151515152,49.0,0.0
0.0,0.16161616161616163,49.0,0.0
0.0,0.17171717171717174,49.0,0.0
0.0,0.18181818181818182,49.0,0.0
0.0,0.19191919191919193,49.0,0.0
0.0,0.20202020202020204,49.0,0.0
0.0,0.21212121212121213,49.0,0.0
0.0,0.22222222222222224,49.0,0.0
0.0,0.23232323232323235,49.0,0.0
0.0,0.24242424242424243,49.0,0.0
0.0,0.25252525252525254,49.0,0.0
0.0,0.26262626262626265,49.0,0.0
0.0,0.27272727272727276,49.0,0.0
0.0,0.2828282828282829,49.0,0.0
0.0,0.29292929292929293,49.0,0.0
0.0,0.30303030303030304,49.0,0.0
0.0,0.31313131313131315,49.0,0.0
0.0,0.32323232323232326,49.0,0.0
0.0,0.33333333333333337,49.0,0.0
0.0,0.3434343434343435,49.0,0.0
0.0,0.3535353535353536,49.0,0.0
0.0,0.36363636363636365,49.0,0.0
0.0,0.37373737373737376,49.0,0.0
0.0,0.38383838383838387,49.0,0.0
0.0,0.393939393939394,49.0,0.0
0.0,0.4040404040404041,49.0,0.0
0.0,0.4141414141414142,49.0,0.0
0.0,0.42424242424242425,49.0,0.0
0.0,0.43434343434343436,49.0,0.0
0.0,0.4444444444444445,49.0,0.0
0.0,0.4545454545454546,49.0,0.0
0.0,0.4646464646464647,49.0,0.0
0.0,0.4747474747474748,49.0,0.0
0.0,0.48484848484848486,49.0,0.0
0.0,0.494949494949495,49.0,0.0
0.0,0.5050505050505051,49.0,0.0
0.0,0.5151515151515152,49.0,0.0
0.0,0.5252525252525253,49.0,0.0
0.0,0.5353535353535354,49.0,0.0
0.0,0.5454545454545455,49.0,0.0
0.0,0.5555555555555556,49.0,0.0
0.0,0.5656565656565657,49.0,0.0
0.0,0.5757575757575758,49.0,0.0
0.0,0.5858585858585859,49.0,0.0
0.0,0.595959595959596,49.0,0.0
0.0,0.6060606060606061,49.0,0.0
0.0,0.6161616161616162,49.0,0.0
0.0,0.6262626262626263,49.0,0.0
0.0,0.6363636363636365,49.0,0.0
